"","team","opp_team","imp_totals","opp_imp_totals","est_pa","est_ra"
"1","Tennessee","Ball State",51.5,16.5,32.5700073242188,37.8798751831055
"2","Pittsburgh","West Virginia",29.25,21.75,26.4840259552002,39.4608535766602
"3","Oklahoma State","Central Michigan",40.75,18.75,35.6021842956543,37.1649971008301
"4","Missouri","Louisiana Tech",40,20,21.9949131011963,39.0967750549316
"5","Purdue","Penn State",24.5,28,43.3456878662109,29.9104042053223
"6","Minnesota","New Mexico State",44.5,8,28.0828323364258,34.5007705688477
"7","Ball State","Tennessee",16.5,51.5,30.098669052124,39.0827484130859
"8","West Virginia","Pittsburgh",21.75,29.25,36.6532211303711,29.5896873474121
"9","Central Michigan","Oklahoma State",18.75,40.75,33.5722732543945,39.3093681335449
"10","Louisiana Tech","Missouri",20,40,28.9859886169434,28.4370155334473
"11","Penn State","Purdue",28,24.5,35.1750335693359,33.9072456359863
"12","New Mexico State","Minnesota",8,44.5,25.3245792388916,33.2113456726074
